reviewer_orcid,reviewer_title_doi,reviewer_title,reviewer_paper_attribure
915,,Loom: Query-aware Partitioning of Online Graphs,graph partitioned queries edges streamed workloads patterns partitioner techniques given sub large signature traverse trie  partitions graphs query traversals patterns 
1177,,"Social, Structured and Semantic Search",social documents rdfs user modeled property uris tagged triples semantical paths figure fragment connection relational  documents user property rdf social 
950,,DeepSea: Progressive Workload-Aware Partitioning of Materialized Views in Scalable Data Analytics,queried view partitioned fragmentation selections base workloads materi distribution accesses costs adaptiveness figure algorithms intermedi  queries views workloads partitions selection 
897,,Privacy Preserving Similarity Evaluation of Time Series Data,secure distances database data protocol times computations parties information encryptions similar query problems privacy series  dynamic distance time protocol securely 
1135,,Finding Socio-Textual Associations Among Locations,located associating based postings users supports approaches keyword algorithm frequently popular set difference definition  keyword location set association 
791,,Monitoring MaxRS in Spatial Data Streams,query algorithm objective rectangles given examples monitors weight time maxrs continuous lines updated problems generally  queries monitoring continuously rectangles object 
1099,,A Highly Scalable Labelling Approach for Exact Distance Queries in Complex Networks,labelled distances network landmark algorithms graphs property query parallelism methods times covered follows large bfs  distance querying labels exact network 
814,,Efficient Record Linkage Using a Compact Hamming Space,blocks data records distance spaces large vector strings number operation match similarities embedded attribute methods  hamming blocking hash string 
1279,,Querying RDF Data Using A Multigraph-based Approach,queries rdf vertex indexing structurally attributes edges amber multigraphs information data sparql vertices section containment  attributes rdf wasbornin dictionary stages 
1136,,HCS: Hierarchical Cut Selection for Efficiently Processing Queries on Data Columns using Hierarchical Bitmap,data bitmaps query range node cuts inclusive memory algorithm databases hierarchies costs compressed specif operation  query data bitmap range workload 
728,,Scalable and Dynamic Regeneration of Big Data Volumes,data regenerate databases queries hydra t_view partition variable processing attribute relation keys technique algorithm constraint  databases regenerate representative plans 
789,,Discovering Order Dependencies through Order Compatibility,ordering dependency attribute data theorems definitions income minimal tables dataset ocd lists relations algorithms differently  order dependencies theorems attribute definitions 
779,,A Parallel and Scalable Processor for JSON Data,data queries parallelism json figures expression rule processed files operator objects jsoniq plans like specifications  query collection parallelism rule expression 
1273,,Functional Geometric Monitoring for Distributed Streams,stream functions monitored safeness distribution fgm communicates query sites problems convexity results data coordinator performs  functional distributed streaming communicating monitor 
718,,Learning Path Queries on Graph Databases,query learn users example paths graphs algorithms node works consistently set workflow database labeling followed  example set learning queries paths 
792,,Optimizing Reformulation-based Query Answering in RDF,querying rdfs reformulate triple saturations answers constraint evaluate sparql relations based performing techniques working typing  queries rdf reformulation based answers 
1000,,The Copernicus App Lab project: Easy Access to Copernicus Data,data copernicus service cloud projects provid metadata rdfs opendap dataset https processes accessed developments opening  data copernicus cloud projects software 
938,,Contender: A Resource Modeling Approach for Concurrent Query Performance Prediction,queries predictive concurrently template model times contender features resources execut plans latency perform workload sampled  queries machines resources concurrency template 
1112,,Attendance Maximization for Successful Social Event Planning,assigned events algorithm organizer update times social example problem follows score selects based figure scheme  events times algorithm interval assignments 
1150,,DynFD: Functional Dependency Discovery in Dynamic Datasets,fds data algorithm dynfd changed validates covered related nonfd record non indexes dependencies inserted efficient  algorithm fds dynfd cover operations 
941,,Holistic Data Profiling: Simultaneous Discovery of Various Metadata,algorithm prune ucc data fds ind muds discovery differs sections containing profiling uniqueness fun  fds algorithms tions fun 
690,,Cohesive Keyword Search on Tree Data,keywords query cohesively lcas resulting data sizes trees terms author stacks algorithm multiple partitions combinations  keywords query cohesiveness lcas result 
785,,Redoop: Supporting Recurring Queries in Hadoop,data query redoop processes windows cached pane executing file hadoop tasks inputs based timely sections  data window executions processed hdfs 
1220,,A Tale of Two Graphs: Property Graphs as RDF in Oracle,rdfs graph edge properties queries keys bases perform sparql database triples nodes quad related following  properties graph edge rdf follows 
1349,,"Taxi Queue, Passenger Queue or No Queue? A Queue Detection and Analysis System using Taxi State Transition",taxis queues states time algorithms passengers events wait sets mdt location transitions booked logs modules  taxis queue state time pickup 
1189,,Finding Contrast Patterns for Mixed Streaming Data,data algorithms itemsets differ pattern contrasting support figure sample windows bins group frequent finds current  sample features itemsets contrasts mining 
1374,,Efficient and Flexible Index Access in MapReduce,indexed efind mapreduce accessed data indices computes users reduces base operator indexoperators classes inputs keys  index accesses mapreduce efind indices 
770,,Umzi: Unified Multi-Zone Indexing for Large-Scale HTAP,indexed data umzi running zones query wildfire columns analyt merge accessed htap like sections record  indexes umzi zone analytical data 
1207,,"RDF-TX: A Fast, User-Friendly System for Querying the History of RDF Knowledge Bases",temporal queried time index based rdf mvbt data version sparqlt timestamp information knowledge model users  querying bases temporal efficient graph 
685,,What Can Programming Languages Say,data map databases lenses schemas relations tion exchanging inversions lens problems examples ing operate language  schemas map moving data exchanging 
1181,,Reachability Queries in Very Large Graphs: A Fast Refined Online Search Approach,graph reachable indexed vertex approaches queried figures algorithm feline intervals searching orderings line set method  graph query reachability indexing feline 
719,,Interactive Inference of Join Queries,querying joining users infer tuple consists data example interacting databases given related problems predicates information  join inferring psq consistent negative 
250,,Detecting Database File Tampering through Page Carving,databases data dbms files pages recorded logged storage values forensics index section tamper active figure  file data value indexes database 
1266,,Interactive Rule Refinement for Fraud Detection,rules transaction captured algorithm rudolf section sets time frauds fraudulent modification news legitimate detect cards  transaction rule captures legitimate fraudulent 
1109,,Query-Based Why-Not Provenance with NedExplain ,queries data tuple attributes definition algorithms results wrt operators typed relation joining nedexplain instances successor  queries data given subqueries tuples 
